id,created_at,updated_at,created_by,modified_by,name,img_url,county,party,field_status
56,2020-05-14 14:28:23,2020-05-14 14:28:25,1,1,Sen. Malala Cleophas W,http://www.parliament.go.ke/sites/default/files/2019-04/PHOTO-2019-04-15-11-11-56.jpg,Kakamega,ANC,Elected
57,2020-05-15 14:28:23,2020-05-15 14:28:25,1,1,Sen. Masitsa Naomi Shiyonga,http://www.parliament.go.ke/sites/default/files/2017-10/a5db8c1256359d5e22d55281b76436ae_M.jpg,Kakamega Delegation,ODM,Nominated
58,2020-05-16 14:28:23,2020-05-16 14:28:25,1,1,Sen. Iman Falhada Dekow,http://www.parliament.go.ke/sites/default/files/2017-10/87a7ff7a4a8fb0e9da560f1cfab2bbd7_M.jpg,Garissa Delegation,JP,Nominated
59,2020-05-17 14:28:23,2020-05-17 14:28:25,1,1,Sen. Kabaka Boniface Mutinda,http://www.parliament.go.ke/sites/default/files/2017-10/de22ba29164cd345f1525b433b4de729_M.jpg,Machakos,CCU,Elected
60,2020-05-18 14:28:23,2020-05-18 14:28:25,1,1,Sen. Kajwang’ Moses Otieno,http://www.parliament.go.ke/sites/default/files/2017-10/75c9e484a584dcf8cadef40577ad1f28_M.jpg,Homa Bay,ODM,Elected
61,2020-05-19 14:28:23,2020-05-19 14:28:25,1,1,Sen. Kamar Margaret Jepkoech,http://www.parliament.go.ke/sites/default/files/2018-10/Photo%20for%20website.jpg,Uasin Gishu,JP,Elected
62,2020-05-20 14:28:23,2020-05-20 14:28:25,1,1,Sen. Kang’ata Irungu,http://www.parliament.go.ke/sites/default/files/2020-02/Sen.%20Irungu%20Kangata.jpg,Murang'a,JP,Elected
63,2020-05-21 14:28:23,2020-05-21 14:28:25,1,1,Sen. Kasanga Sylvia Mueni,http://www.parliament.go.ke/sites/default/files/2017-10/63e53c5a0a578af2915bca6ca3be5646_M.jpg,Nairobi Delegation,WDM-K,Nominated
64,2020-05-22 14:28:23,2020-05-22 14:28:25,1,1,Sen. Khaniri George,http://www.parliament.go.ke/sites/default/files/2017-10/22f4ea961711bcef2dcb95904ab7d319_M.jpg,Vihiga,ANC,Elected
65,2020-05-23 14:28:23,2020-05-23 14:28:25,1,1,Sen. Kibiru Charles Reubenson,http://www.parliament.go.ke/sites/default/files/2017-10/b6d3c040c822ea2760689bd68755158a_M.jpg,Kirinyaga,IND,Elected
66,2020-05-24 14:28:23,2020-05-24 14:28:25,1,1,Sen. Kihika Susan Wakarura,http://www.parliament.go.ke/sites/default/files/2018-10/SEN%20KIHIKA%20PHOTO.JPG,Nakuru,JP,Elected
67,2020-05-25 14:28:23,2020-05-25 14:28:25,1,1,Sen. Kilonzo Mutula Junior,http://www.parliament.go.ke/sites/default/files/2017-10/81460f786448ef802384de7a22471134_M.jpg,Makueni,WDM-K,Elected
